sentence,model_category_label
EES Associate and Analyst Mid-year 2001 PRC - SAVE THE DATE,3
"I got a voicemail fro Ken. He would be happy to meet with Freeman. He is willing to work on other times, but suggested the following After 3:00 on May 2nd (right after Ken's speech to the RGA) or late the day before or in the morning of the second (to do this though he would have to cancel his speech to the Texas Governor's business council but he is willing to do this if necessary) His least preferred alternative in this general time frame would be early morning on the third. Jeff -- could you coordinate with Rosie to get the time and place nailed down?",3
"Re: Project Stanley. Please revise the document as Aleck's changes indicate. With respect to the alternative responses shown near the end of the document, leave both alternatives in",5
"RE: Vacation Time. Maureen, No problem. Vince -----Original Message----- From: Raymond, Maureen Sent: Friday, June 29, 2001 12:44 AM To: Kaminski, Vince J Cc: Crenshaw, Shirley Subject: Vacation Time Vince, I would like to take vacation the week of July 23, 2001 to July 27, 2001. Thank you, Maureen",2
"Meeting with Bill Hogan, Mr. Lay, and Mr. Skilling, Irwin Stelzer and Richard Tabors will sit in as well, in 50M03. (Connie Burns in Bill Hogan's office 617-495-1318) Lunch will be served.",3
"RE: Compliance Agreement. What's this about? Could you e-mail Dave and I with the background, any effect on us, etc",0
"Would it be possible to use LiveLink to capture the information we gathered for the organization/budget review (such as functions of the different groups and the roles and responsibilities of the different individuals, budgets etc)? I hate to see all that ggod information sit idle.",0
CONFIDENTIAL - DO NOT DISTRIBUTE. CONFIDENTIAL - DO NOT DISTRIBUTE Steve Kean would like your comments on this email as soon as possible. Thanks.,2
"Thu evening. Jody, Thanks. Confirmed 8:30, Thu. Vince",3
Jeff wouldn't be able to leave until late the 23d or early on the 24th and would need to be back by late on the 27th,3
RE: United India - strictly confidential and privileged. I got your copy kicked back to me for some reason,5
Re: TALKING POINTS UC/CSU,0
Demand buy-down proposal. The e-copy,0
Re: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted. Can you guys coordinate to make sure someone listens to this conference call each week. Tara from the fundamental group was recording these calls when they happened every day,3
"Confidential (sic)...chew immediately after reading (sic).. You have to love the availability of beautiful lasses for viewing. Things are interesting. Enron is moving right along and we will find out about who I am working for on Friday (our auction should be completed then). Not too much else is new. My place continues to get better (as I slowly furnish it), but Portland continues to be the little sister to Seattle. A couple new bars in town suggest she might be getting closer to puberty but definitely not the woman about town that Seattle is. Morgan told me you may no longer be with Steph? Is this true? (And I hope you are the only one reading this if it is not). If that is the case, well, we can see what we can do about it. As always, I have no plans the next couple weekends, so give me a shout (still have my cell phone at 503-887-3449) if you want to take a trip on down. Your always welcome to crash on my couch...(sorry its all I have, I got rid of the futon). Hope youre doing well. Word. -----Original Message----- From: Scott Kuehn [mailto:scottkuehn@go2netmail.com] Sent: Tuesday, January 08, 2002 2:28 PM To: Williams III, Bill Subject: Re: What up? Awww Jeahh. It's nice to hear from you. Ive been trying to get in touch with yall for quite some time. Please reply back to this message and let me know how ""Things"" are. Yes, the question is ambiguous, but try to go with it. In response to ""What up?:"" Everything has reached a new status quo. I live in Gig Harbor and attend class at UW Tacoma (UWT for short). Class is great and their are plenty of beautiful lasses for viewing pleasure. Hopefully I will be out of GH soon. I will start looking for jobs in Portland, Seattle, and SF (possibly) in Spring. I have not been working on my tan. I would really like to visit the city of Roses in the next few weekends. What are your plans? I hope everything is well with you. Please write back soon. Buenos Nachos, Scott Sent by Go2net Mail!",2
"Re: Thanks & Questions. I enjoyed talking with you the other day and am happy to answer your questions: both the Texas position and the Washington DC position report to Rick Shapiro. From a government affairs standpoint, I've divided the world between Rick's group (the Americas) and Mark Schroeder's group (Europe and Asia). Both Rick and Mark report to me. Joe Allen continues as part of the Texas legislative team, working for the head of that group (formerly Kathleen Magruder). Terry Thorn has taken a commercial position in Enron and no longer works on government affairs issues for the company (except to the extent we call on various executives to help from time-to-time). ""Untermeyer, Chase"" <Chase.Untermeyer@COMPAQ.com> on 08/31/2000 04:53:09 PM To: ""'skean@enron.com'"" <skean@enron.com> cc: Subject: Thanks & Questions STEVE: I very much appreciate your call the day before yesterday and your asking if I would like to compete to succeed Joe Hillings as head of Enron's Washington office. Although until that moment I hadn't thought of returning to Washington except to serve again in national office, I would be pleased to talk further about this opportunity with you or your recruiter. In recalling our conversation, I realize that twice you asked if I had any questions, and if I had been quick to take advantage of your offer, I would have asked how government relations are handled at Enron. To whom does Joe Hillings report: to you or to Terry Thorne? You mentioned a woman who currently has responsibility for government relations in Texas and some neighboring states but is leaving for another job at Enron; to whom does she report? Then there is Joe Allen, whom I have known since our days in the Legislature; doesn't he (also) handle Texas affairs? I am sorry I didn't ask you all this on Tuesday. Whatever the answers, it's clear that government relations are much more central to the work of Enron than at Compaq, which is why it would be a very exciting place to work. Thanks again for your call, your courtesy, and your indulgence with this tardy line of questioning. With best wishes, CHASE. CHASE UNTERMEYER Director of Government Affairs Compaq Computer Corporation P.O. Box 692000-110706 Houston, Texas 77269-2000 Tel: (281) 518-1093 Fax: (281) 518-1106 chase.untermeyer@compaq.com",0
"FW: Southern, Regulators clash in Power grid fight. Very interesting article. -----Original Message----- From: Nersesian, Carin Sent: Wednesday, October 10, 2001 4:21 PM To: Robertson, Linda; Shelk, John; Shortridge, Pat Subject: Southern, Regulators clash in Power grid fight Atlanta Journal and Constitution October 10, 2001, Wednesday Copyright 2001 Knight Ridder/Tribune Business News Copyright 2001 The Atlanta Journal and Constitution Atlanta Journal and Constitution October 10, 2001, Wednesday KR-ACC-NO: AT-ENERGY LENGTH: 718 words HEADLINE: Southern Co., Regulators Clash in Power-Grid Fight BYLINE: By Matthew C. Quinn BODY: Southern Co. appears to be on the verge of losing a big-money power struggle over control of its four-state electricity transmission system. But both sides in the tug-of-war offer different takes on which result would help consumers and which would hurt them. At issue are long-distance transmission lines, mounted on huge steel towers, that carry electricity across state lines to towns and cities. Atlanta-based Southern Co. has invested $ 3 billion in its 26,000-mile system, but federal regulators want it to cede control to a larger agency that covers eight states. The matter is coming to a head now after three years of wrangling. The Federal Energy Regulatory Commission wants to carve up the country into four regional transmission organizations, or RTOs, for the Southeast, Northeast, Midwest and West. Under such a plan, local utilities like Southern would be unable to stop competing power shipments from out-of-state suppliers. Regional transmission organizations ""yield significant customer savings,"" said FERC Chairman Pat Wood III. Commission spokeswoman Barbara Connors said lower rates will result when barriers to competitively priced electricity from outside the region are dropped and transmission costs reduced. But there are sharp differences of opinion on that score. Andy Dearman, Southern Co.'s chief transmission officer, cites estimates that a super-regional agency could cost more than $ 100 million to establish, and he says those costs could be passed on to consumers in the form of higher rates. According to Georgia Power Co., a Southern Co. subsidiary, transmission costs already account for about 6.5 percent of Georgia electricity bills. There's also a question of reliability when a new system is established, Dearman saud. ""It impacts the ability to keep the lights on,"" he said. Some state regulators, who stand to lose regulatory control, see a Washington power grab. ""We've got low prices and a reliable system,"" said Georgia Public Service Commissioner Stan Wise, who sees a back-door move toward utility deregulation of the sort that has failed with electricity in California and been severely tested with natural gas in Georgia. ""Don't tell me about the new system when I've got blood on my face from the last battle,"" Wise said. ""There are some parallels that make us squirm."" PSC Chairman Lauren ""Bubba"" McDonald wrote President Bush following the Sept. 11 terrorist attacks urging a delay. ""This is not the time to consider or implement any change to the management of the nation's transmission grid,"" he said. But the federal commission has only toughened its position. Wood, a Texan recently named chairman by Bush, said last month he wants to use the commission's authorities as a ""stick"" to force reluctant utilities into line. Wood would deny utilities that refuse to join a ""new world"" of regional power grids by Dec. 15 the authority to charge deregulated prices and delay merger approvals for those firms. The commission plans a series of workshops in Washington next week for what Wood called the ""brightest minds available"" in the utility field to brainstorm over transmission reorganization plans. Southern Co. is sending a representative. Companies like Enron Corp., the Texas-based national energy suppler, are pressing for RTOs as the first step toward a national transmission grid -- a concept favored by the Bush administration. Prodded by federal regulators, Southern Co. in June agreed to dilute its control over the 26,000-mile system by joining with public power agencies in five states to form a larger, 39,000-mile transmission agency to be operated by an outside company. But a federal mediator rejected the plan. The issue has also split Southern Co. from onetime subsidiary Mirant Corp., an independent power company with plans to expand into the Southeast. Large regional grids are ""more cost-effective and reliable"" than the present territorial hodgepodge, said Mirant spokesman Buddy Eller. By encouraging development of new and cleaner power plants, the environment would benefit too, he added. But Wise called such predictions ""totally unproven."" Carin Nersesian Legislative Coordinator Enron Corp. 202-466-9144 202-828-3372 (fax)",0
"I'm Leaving Enron. Congratulations on your new position! This all came up rather suddenly, at least as far as I can tell. If you have any interest, I would like to talk to you sometime",2
"Confidential Information and Securities Trading. To:WILLIAMS, WILLIAM Email:bwillia5@enron.com - 503-464-3730 Enron Wholesale Services - Office of the Chairman From: Mark Frevert, Chairman & CEO Mark Haedicke, Managing Director & General Counsel Subject: Confidential Information and Securities Trading To keep pace with the fluid and fast-changing demands of our equity trading activities, Enron Wholesale Services (""EWS"") has recently revised its official Policies and Procedures Regarding Confidential Information and Securities Trading (""Policies and Procedures""). These revisions reflect two major developments: (1) our equity trading activities have been extended into the United Kingdom, and (2) in an effort to streamline the information flow process, the ""Review Team"" will play a more centralized role, so that the role of the ""Resource Group"" is no longer necessary.You are required to become familiar with, and to comply with, the Policies and Procedures. The newly revised Policies and Procedures are available for your review on LegalOnline, the new intranet website maintained by the Enron Wholesale Services Legal Department. Please click on the attached link to access LegalOnline: http://legalonline.corp.enron.com/chinesewall.asp If you have already certified compliance with the Policies and Procedures during the 2001 calendar year, you need not re-certify at this time, although you are still required to to review and become familiar with the revised Policies and Procedures. If you have not certified compliance with the Policies and Procedures during the 2001 calendar year, then you must do so within two weeks of your receipt of this message. The LegalOnline site will allow you to quickly and conveniently certify your compliance on-line with your SAP Personal ID number. If you have any questions concerning the Policies or Procedures, please call Bob Bruce at extension 5-7780 or Donna Lowry at extension 3-1939.",0
"Washington DC to meet with Jefferds. Lunch - still outstanding (No mci guy) 2:30- Chris Perkins, Senator Jefferds office (R-VT), Senate Building Room 728 Hart, Malcolm and Cynthia will attend, she also invited Mike Marvin, Business Council 3:30 - Rick Kessler, Congressman Pallone, Democrate from New Jersey, 420 Cannon, Malcolm can also attend 4:00 - Elise Jones, Congresswoman Furse (D-OR), 316 Cannon, Malcolm can go to this MCI we'll try to do on May 1st.",3
Re: Corporate Allocations April 2001. Is this a 2001 question? If so it seems to me we shouldn't bother with it,0
"RE: UBS deal. Marilyn Yes, please call Shirley (3-5290) to setup a meeting. Vince -----Original Message----- From: Baker, Marilyn N Sent: Monday, June 18, 2001 4:29 PM To: Kaminski, Vince J Subject: RE: UBS deal Vince: Are you available to talk about it tomorrow (Tuesday)? Marilyn -----Original Message----- From: Kaminski, Vince J Sent: Friday, June 15, 2001 11:09 AM To: Baker, Marilyn N Cc: Lu, Zimin Subject: UBS deal Marilyn, Krishna sent to me the information about the structure proposed by UBS . I shall review it during the weekend and we can talk about it on Monday. Vince",3
Re: ENE Officer Elections. We should include David Oxley -- VP of human resources. From: Kelly Johnson/ENRON@enronXgate on 07/18/2001 11:13 AM To: Steven J Kean/NA/Enron@Enron cc: Maureen McVicker/NA/Enron@Enron Subject: ENE Officer Elections Steve: Please review the attached ENE Officer list for your direct reports and approve. Thank you. Kelly M. Johnson Enron Corp. Executive Assistant Tel: (713) 853-6485 Fax: (713) 853-2534 E-Mail: kelly.johnson@enron.com,3
Nick Lampson called and asked for a contribution. I committed to one without knowing about his vote on PNTR. I will keep my word by making an individual contribution but will also communicate to him that in my capacity as Enron PAC chair i cannot authorize the PAC to make a contribution as a result of that vote. Sorry I jumped the gun.,0
"Enron's Matching Gift Program. Tim -- Cindy manages this program. Mary -- please give some thought to how we might solicit employee views on this. Cindy -- I believe we already allow matching of donations to quasi-religious organizations: religious schools, for example, and perhaps relief organizations like Catholic Relief Services? I think that if we want to consider extending it we should probably discuss it in a smaller group than the e-speak forum -- the Enron Foundation Board perhaps? This could become controversial, though (recall the Planned Parenthood debate and the periodic attempts of shareholders to add restrictions through the proxy mechanism)",0
"Other Aspects of Cheney Energy Report Recommendations of Interest to Enron -- Coal and Enviro Related. Below is the text of recommendations taken from the summary of recommendations in the Cheney Energy Report being released later this morning that focus on coal and coal-related issues, including environmental. ""The NEPD Group (National Energy Policy Development) recommends that the President direct the Administrator of the Environmental Protection Agency (EPA) to propose multi-pollutant legislation. The NEPD Group recommends that the President direct the EPA Administrator to work with Congress to propose legislation that would establish a flexible, market-based program to significantly reduce and cap emissions fo sulfur dioxide, nitrogen oxides, and mercury from electric power generators. Such a program (with appropriate measures to address local concerns) would provide significant public health benefits even as we increase electricity supplies. Establish mandatory reduction targets to emissions of three main pollutants: sulfur dioxide, nitrogen oxides, and mercury. Phase in reductions over a reasonable period of time, similar to the successful acid rain reduction program established by the 1990 amendments to the Clean Air Act. Provide regulatory certainty to allow utilities to make modifications to their plants without fear of new litigation. Provide market-based incentives, such as emissions trading credits to help achieve the required reductions."" ""The NEPD Group recognizes the importance of looking to technology to help us meet the goals of increasing electricity generation while protecting our environment. To that end, the NEPD Group recommends that the President direct the Department of Energy to continue to develop advanced clean coal technology by: Investing $2 billion over 10 years to fund research in clean coal technologies. Supporting a permanent extension of the existing research and development tax credit. Directing federal agencies to explore regulatory approaches that will encourage advancements in environmental technology. ""The NEPD Group recomemnds that the President direct federal agencies to provide greater regulatory certainty relating to coal electricity generation through clear policies that are easily applied to business decisions."" ""The NEPD Group recommends that the President direct the Administrator of the Environmental Protection Agency, in consultation with the Secretary of Energy and other relevant agencies, to review New Source Review regulations, including administrative interpretations and implementation, and report to the President within 90 days on the impact of the regulations on investment in new utility and refinery generation capacity, energy efficiency, and environmental protection."" ""The NEPD Group recommends that the President direct the Attorney General to review existing enforcement actions regarding New Source Review to ensure that the enforcement actions are consistent with the Clean Air Act and its regulations."" ""The NEPD Group recommends that the President direct federal agencies to support continued research into global climate change; continue efforts to identify environmentally and cost-effective ways to use market mechanisms and incentives; continue development of new technologies; and cooperate with allies, including through international processes, to develop technologies, market-based incentives, and other innovative approaches to address the issue of global climate change.",0
help with neighborhood. Please forward to Sue Walden and get her ideas,0
Follow up,2
Chili Cook Off at Rice University,3
"Re: New Building IT. Thanks for the offer. I may take you up on it. Martin Bucknell/ENRON@enronXgate 03/27/2001 06:21 PM To: Steven J Kean/NA/Enron@Enron cc: Subject: New Building IT Steve, Thanks for the meeting today, if you would like me to sit down and go through some of the issues and risks associated with the IT elements of the project, we can meet and have a more focused discussion. It is always difficult to talk through all of the area's when both Philippe and Bill are together. Martin",2
Re: Project Stanley Q&As. I think the Qs and As look good. I wouldn't bring up the California situation (eliminate the second half of A25),0
<<Concur Expense Document>> - JS3/15/01,3
"Re: Advisory board meeting. While the more-open gas market may have more tools available than in electric markets, market solutions have been proposed as an alternative to legislated rate caps in the hard hit San Diego market. Gavin -- please send Irwin copies of the articles on the offers made in San Diego. Stelzer@aol.com on 08/25/2000 03:14:04 PM To: skean@enron.com cc: Subject: Advisory board meeting The WSJ report of 8-23 on the power/price situation in Con Ed's territory contains the following: ""And the tools to hedge prices, such as those that exist in other commodities markets, aren't fully developed yet for th fledgling deregulated electricity industry."" That might be worthy of comment in my talk. Anything I should see on the subject?",0
Monthly Billing - Detail Class 845 / s100105.xls,0
"Re: Chorety Crisis. Thanks for the update. Congratulations on your progress. Keith Miceli@ENRON 07/24/2000 04:18 PM To: Steven J Kean@EES, Mark Palmer/Corp/Enron@ENRON, Karen.Denne@enron.com cc: Karen.Denne@enron.com Subject: Re: Chorety Crisis Steve and Mark: I arrived in the US on Saturday with a good feeling about what appears to be a successful resolution of the Chorety crisis. Under Steve Hopper's leadership, the Chorety spill became a non-issue by Friday. During the crisis, I collaborated with my counterpart from Shell/London, Michael Megarry, in developing a Key Messages and Internal Q&As document (attached). At the daily meeting/conference call, there was an Operations Report from the site, an analysis of the day's newspaper articles (which I handled), and discussions on how to respond to media that were reporting or airing inaccurate information that was damaging Transredes' image. I also developed a Stakeholders Action Plan (attached) for the Incident Commander to use in organizing and monitoring team member actions taken in response to stakeholder concerns. The Plan was updated daily by the Transredes PR Office and given to team members prior to every meeting/conference call. The Stakeholder Report is intended to complement the Operations Report. I also want to acknowledge the support of Karen and Dennis during the early stages of the crisis. It was extremely helpful. Regards, Keith",0
"RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted. FYI Item: Rob Gramlich, formerly with FERC, PJM, and, most recently, PG&E NEG will be taking a position as Chief Economic Advisor for Chair Pat Wood, effective I October. For what its worth, Belden, Gramlich, and I all worked together in the mid-90s. (I hired Rob as a research assistant in 1994 when I was a scientist at Lawrence Berkeley National Lab.) Alan Comnes -----Original Message----- From: Comnes, Alan Sent: Wednesday, September 12, 2001 2:13 PM To: Alvarez, Ray; Walton, Steve; Mara, Susan; Lawner, Leslie; Cantrell, Rebecca W.; Fulton, Donna; Dasovich, Jeff; Nicolay, Christi L.; Steffes, James D.; 'jalexander@gibbs-bruns.com'; Allen, Phillip K.; Noske, Linda J.; Perrino, Dave; Black, Don; Frank, Robert; Miller, Stephanie; Tycholiz, Barry; Novosel, Sarah; Thome, Jennifer; Hall, Steve C. (Legal); Lindberg, Susan Subject: RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted Another agenda item I got a call today from Bob Pease, Attorney with Market Oversight and Enforcement at FERC, 202-208-0131, to invite Enron to a meeting called by Chairman Wood at the CAISO offices on 24-25 Sep 01. The purpose of the meeting is to try to get the FERC, CAISO, DWR and other market participants to work out issues related to reliability that have arisen in recent months. Issues include those that that affect operations and reliability such as the must-offer requirements, ramping, etc. He was not clear as to whether they would address creditworthiness issues. From the FERC staff ""non-decisional"" employees will attend. He invited solutions/proposals in advance of the meeting. Enron needs to decide who to send. Alan Comnes -----Original Message----- From: Alvarez, Ray Sent: Wednesday, September 12, 2001 8:31 AM To: Comnes, Alan; Walton, Steve; Mara, Susan; Lawner, Leslie; Cantrell, Rebecca W.; Fulton, Donna; Dasovich, Jeff; Nicolay, Christi L.; Steffes, James D.; 'jalexander@gibbs-bruns.com'; Allen, Phillip K.; Noske, Linda J.; Perrino, Dave; Black, Don; Frank, Robert; Miller, Stephanie; Tycholiz, Barry; Novosel, Sarah; Thome, Jennifer; Hall, Steve C. (Legal); Lindberg, Susan Subject: RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted PLEASE MARK YOUR CALENDAR Date: Every Thursday Time: 7:30 am Pacific, 9:30 am Central, and 10:30 am Eastern time Number: 1-888-271-0949 Host Code: 661877 (for Ray only) Participant Code: 936022 (for everyone else) The table of the on-going FERC issues and proceedings is available to all team members on the O drive. Please feel free to revise/add to/ update this table as appropriate. Proposed agenda for tomorrow: CAISO filed Amendment No. 40 which would suspend the use of preliminary invoices and disbursements. CA refund proceeding status. Please feel free to communicate any additional agenda items to the group .",0
Congressman Ose loved your letter to Sen. Dunn,0
Some funnies,1
"RE: Southern Co.'s Testimony. I think a rebuttal would be in order if others agree. -----Original Message----- From: Nicolay, Christi L. Sent: Thursday, October 18, 2001 4:42 PM To: Shelk, John; Shapiro, Richard; Steffes, James D. Cc: Robertson, Linda; Novosel, Sarah Subject: RE: Southern Co.'s Testimony Do we need to specifically rebut this? Enron did file a study to support the natural markets of the SE, and, while we generally have stated responses to his issues in various forums, do we need to respond item by item? (FYI--I have never heard the ""lake"" analogy before -- his characterization of it as the opponent position helps his case, but it is incorrect because as far as I know, there is no one proposing a system that ignores constraints). Also, we have not focused much recently on the transmission pricing issues. This may be an opportunity to discuss this in context. He seems to use it as a reason against the Southeast RTO. -----Original Message----- From: Shelk, John Sent: Monday, October 15, 2001 4:08 PM To: Shapiro, Richard; Steffes, James D.; Nicolay, Christi L. Cc: Robertson, Linda; Novosel, Sarah Subject: FW: Southern Co.'s Testimony Below is a link to Southern Co. CEO Allen Franklin's prepared testimony at the Barton hearing last week (October 10). He says they favor wholesale competition, but he then goes on to talk about the virtues of geographically smaller RTOs, with a phased approach of smaller RTOs that could later merge to become larger (although the Barton discussion draft would prevent such mergers). The statement also chronicles their involvement in the Southeast mediation process. In his oral testimony, Franklin kept ephasizing the lack of FERC cost/benefit studies on RTOs and the similar (alleged) lack of studies and analysis to support the 4 RTO model. -----Original Message----- From: Nersesian, Carin Sent: Monday, October 15, 2001 4:59 PM To: Shelk, John Subject: Southern Co.'s Testimony http://energycommerce.house.gov/107/hearings/10102001Hearing387/Franklin647.htm",0
test message. Testing Notes capabilities of your Enron home computer.,0
"Comments On Draft RTO Letter On Barton Proposal. Following up on last night's e-mail, here are some specific suggestions to strengthen the draft EPSA letter on the Barton RTO draft. The second paragraph and the first few bullets after it should be rewritten as follows to make it clear that the current legislative proposal on RTOs is far off the mark as opposed to being fixed by ""technical corrections"" as the draft letter now states: You have identified RTOs as critical to the development of a well-functioning transmission system, and we wholeheartedly agree. We commend you for including all transmission-owning utilities in the RTO provisions and for requiring that transmission be conducted on an open-access basis. However, to accomplish the RTO and transmission goals we share, it is essential that any legislation on RTOs not slow down the process already underway at FERC. Unfortunately, the discussion draft as issued on October 9th does not meet this test. Specifically, the proposal Establishes a lengthy and cumbersome process that will delay the formation of RTOs by imposing procedural requirements that advantage those who oppose properly functioning RTOs, including evidentiary hearings and court appeals review under standards of judicial review not normally applicable to Federal Power Act cases. Removes the ability of the Federal Energy Regulatory Commission (FERC) to deal with an evolving marketplace by statutorily freezing market and operational structures in place as of date of enactment regardless of changed circumstances. [rest of the bullets as in the draft letter] We appreciate the opportunity to offer these suggestions to strengthen the draft letter. Please call with any questions or comments before the Legislative Affairs Committee meeting tomorrow. Thanks. John",5
"Re: Two Governor's Press Releases--More Courage from the Capitol. Preempt me, please! Jeff Dasovich@EES 09/13/2000 06:22 PM To: Mary Hain/HOU/ECT@ECT, Joe Hartsoe/Corp/Enron@ENRON, Cynthia Sandherr/Corp/Enron@ENRON, Sarah Novosel/Corp/Enron@ENRON, Paul Kaufman/PDX/ECT@ECT, Sandra McCubbin/SFO/EES@EES, Mona L Petrochko/SFO/EES@EES, Susan J Mara/SFO/EES@EES, James D Steffes/HOU/EES@EES, mpalmer@enron",0
"FW: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted. -----Original Message----- From: Comnes, Alan Sent: Wednesday, August 08, 2001 1:34 PM To: Alvarez, Ray; Walton, Steve; Mara, Susan; Lawner, Leslie; Cantrell, Rebecca W.; Fulton, Donna; Dasovich, Jeff; Nicolay, Christi L.; Steffes, James D.; jalexander@gibbs-bruns.com <mailto:jalexander@gibbs-bruns.com>; Allen, Phillip K.; Noske, Linda J.; Perrino, Dave; Black, Don; Frank, Robert; Miller, Stephanie; Tycholiz, Barry; Novosel, Sarah; Thome, Jennifer; Hall, Steve C. Cc: Hawkins, Bernadette Subject: RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted Ray asked me to notice tomorrow's meeting as he is traveling today. Please let me know if there are other items to add to the agenda. PLEASE MARK YOUR CALENDAR Date: Every Thursday Time: 7:30 am Pacific, 9:30 am Central, and 10:30 am Eastern time Number: 1-888-271-0949 Host Code: 661877 (for Ray only) Participant Code: 936022 (for everyone else) The table of the on-going FERC issues and proceedings is available to all team members on the O drive. Please feel free to revise/add to/ update this table as appropriate. Proposed agenda for tomorrow: 1. Comments on July 10 CAISO tariff filing due Thursday 2. Comments on the WSCC-wide price mitigation due August 18th 3. CA refund proceeding update and upcoming FERC hearings 4. PacNW refund proceeding update 5. CEOB expedited rehearing request . Reply by IEP? 6. letter to CAISO re: whether DWR is a credit worthy counter party 7. DSTAR update",3
Re: Hendricks. I think we should let people in the legislature know about this and see if one or more of them can get their hands on it,0
"Re: eBiz article on Bush energy plan. Looks good to me. I'm glad you had the chance to work with Linda. Jeannie Mandelker@ECT 05/23/2001 03:31 PM To: Karen Denne/Corp/Enron@ENRON, Linda Robertson/NA/Enron@ENRON, Steven J Kean/NA/Enron@Enron cc: Subject: eBiz article on Bush energy plan Linda, thanks for making time for me today. This is the eBiz article we'd like to run Friday. I need your comments by noon tomorrow. You can e-mail them back or reach me at 3-6305. Thanks, Jeannie",5
Background and Message Points. Attached is Jeff's backgrounder in the event you call Hertzberg,5
